País;Número de medalhas nos Jogos Olímpicos de Inverno;Número de medalhas nos Jogos Olímpicos
Noruega;37;8
ROC;32;71
Alemanha;27;37
Canadá;26;24
Estados Unidos da América;25;113
Suécia;18;9
Áustria;18;7
Japão;18;58
Páises Baixos;17;36
Itália;17;40
República Popular da China;15;88
Suíça;14;13
França;14;33
República da Coréia;9;20
Finlândia;8;2
Eslovênia;7;5
Austrália;4;46
Nova Zelândia;3;20
Hungria;3;20
Grã-Bretanha;2;65
Bélgica;2;7
República Checa;2;11
Eslováquia;2;4
Bielorrússia;2;7
Espanha;1;17
Ucrânia;1;19
Estônia;1;2
Letônia;1;2
Polônia;1;14